Timestamp,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64,Feature_65,Feature_66,Feature_67,Feature_68,Feature_69,Feature_70,Feature_71,Feature_72,Feature_73,Exercise_Type,Label
2025-09-04 15:31,12.1665,0,12.1665,12.1665,0,12.1665,148.0238,0,-0.5221,0.4367,-1.1792,0.0981,1.2773,0.6807,0.4633,3,0.2268,0.4177,-0.4517,0.7803,1.2319,0.4753,0.2259,3,100.8057,99.4249,-8.1177,256.958,265.0757,141.5878,20047.0989,3,1.0295,126.8487,-177.2461,186.5234,363.7695,126.8529,16091.6594,4,9.0454,22.0918,-38.147,49.1943,87.3413,23.8719,569.8668,7,0.3296,7.9899,-11.272,13.0792,24.3512,7.9967,63.9468,4,-3.6134,20.1577,-31.3824,26.2628,57.6453,20.479,419.391,4,31.3843,2.7724,25.9772,37.9907,12.0135,31.5065,992.6591,0,13.1451,Left,1
2025-09-04 15:31,12.1665,0,12.1665,12.1665,0,12.1665,148.0238,0,-0.5731,0.5669,-1.5488,0.1216,1.6704,0.8061,0.6498,3,0.3192,0.4576,-0.4233,0.8926,1.3159,0.5579,0.3113,4,92.7938,104.4212,-16.4185,286.377,302.7954,139.6942,19514.4661,4,-2.7303,140.5831,-201.5381,205.9937,407.5317,140.6097,19771.0745,3,1.7334,36.58,-70.4956,53.894,124.3896,36.6211,1341.1035,10,0.3281,9.9803,-12.3486,16.2213,28.5699,9.9857,99.7135,3,-9.3962,24.5881,-39.2761,30.6409,69.917,26.3223,692.8652,4,37.1909,4.0033,30.3772,47.0544,16.6772,37.4058,1399.1912,0,13.2804,Left,1
2025-09-04 15:31,12.1665,0,12.1665,12.1665,0,12.1665,148.0238,0,-0.5004,0.4398,-1.3462,0.0845,1.4307,0.6662,0.4439,4,0.2816,0.4494,-0.4336,0.8569,1.2905,0.5303,0.2812,4,105.0293,109.9857,-10.437,285.0952,295.5322,152.079,23128.0088,4,10.4045,129.7297,-173.9502,196.6553,370.6055,130.1463,16938.0603,4,-0.7975,32.1875,-70.3735,58.2275,128.6011,32.1974,1036.6743,8,0.8599,9.14,-12.4146,12.9089,25.3235,9.1804,84.2792,4,-8.3774,19.5259,-32.7063,24.0381,56.7444,21.2472,451.4424,4,33.4215,2.8334,27.8558,38.0237,10.1678,33.5414,1125.0255,0,13.1547,Left,1
2025-09-04 15:31,12.1665,0,12.1665,12.1665,0,12.1665,148.0238,0,-0.5426,0.4706,-1.3945,0.0679,1.4624,0.7183,0.5159,2,0.2575,0.4409,-0.4263,0.8638,1.29,0.5106,0.2607,4,100.1506,97.1829,-8.606,297.7295,306.3354,139.5516,19474.6492,2,1.3672,122.0881,-171.0205,171.936,342.9565,122.0958,14907.3804,4,-7.5846,26.197,-69.0308,39.1235,108.1543,27.2729,743.8118,10,0.1593,9.0552,-12.453,14.5184,26.9714,9.0566,82.0227,4,-5.5426,19.8617,-30.6738,27.1362,57.8101,20.6206,425.2091,3,32.9147,1.3889,30.1465,35.3156,5.1691,32.944,1085.3046,0,13.1728,Left,1
2025-09-04 15:31,12.1665,0,12.1665,12.1665,0,12.1665,148.0238,0,-0.6171,0.575,-1.4585,0.1519,1.6104,0.8434,0.7114,3,0.2015,0.4375,-0.5181,0.7642,1.2822,0.4817,0.232,4,103.4098,115.4144,-16.9678,307.4951,324.4629,154.9648,24014.0776,4,-5.9041,136.1081,-178.6499,236.9995,415.6494,136.2361,18560.2762,4,1.3875,44.7383,-123.23,63.9648,187.1948,44.7598,2003.442,6,-0.3494,9.4086,-13.8208,14.5734,28.3942,9.4151,88.6445,4,-11.6968,20.0944,-38.7268,20.072,58.7988,23.2508,540.5998,4,30.8167,2.1506,26.8726,35.0519,8.1793,30.8916,954.2911,0,13.2424,Left,1
2025-09-04 15:31,12.1665,0,12.1665,12.1665,0,12.1665,148.0238,0,-0.4866,0.4688,-1.4053,0.1191,1.5244,0.6757,0.4566,4,0.2115,0.4271,-0.4502,0.75,1.2002,0.4767,0.2272,4,101.473,111.8944,-12.4512,325.8667,338.3179,151.0534,22817.1279,4,12.1379,129.7397,-165.3442,201.416,366.7603,130.3062,16979.7105,4,1.8636,46.3636,-123.1079,101.7456,224.8535,46.401,2153.0559,8,0.4728,8.6262,-14.881,11.673,26.554,8.6391,74.6346,4,-12.4197,20.5986,-38.5675,19.5117,58.0792,24.0531,578.5497,4,30.8405,2.0244,28.2843,34.8212,6.5369,30.9068,955.2317,0,13.1212,Left,1
2025-09-04 15:31,12.1665,0,12.1665,12.1665,0,12.1665,148.0238,0,-0.5396,0.559,-1.4805,0.2554,1.7358,0.777,0.6037,4,0.4113,0.5298,-0.4976,1.0586,1.5562,0.6707,0.4499,4,97.5667,118.0927,-29.1748,322.0215,351.1963,153.1834,23465.1422,4,-1.6479,157.4287,-215.8813,237.1216,453.0029,157.4373,24786.5158,3,4.5166,30.6581,-63.2935,77.8198,141.1133,30.989,960.3163,7,0.0505,10.0717,-14.3591,14.7711,29.1302,10.0719,101.4422,3,-9.8621,23.0492,-39.2432,27.1857,66.4288,25.0704,628.5252,4,26.6642,3.0642,22.4945,31.8878,9.3933,26.8397,720.3678,0,13.3708,Left,1
2025-09-04 15:31,12.1665,0,12.1665,12.1665,0,12.1665,148.0238,0,-0.5284,0.5682,-1.4229,0.2354,1.6582,0.7759,0.602,4,0.1919,0.3765,-0.4551,0.646,1.1011,0.4226,0.1786,4,88.3097,104.7581,-28.4424,260.9863,289.4287,137.0141,18772.8616,3,-10.6201,133.8851,-189.5142,189.4531,378.9673,134.3057,18038.02,4,-1.0132,22.333,-41.0156,37.7197,78.7354,22.356,499.7897,10,-0.6394,8.5849,-13.9252,12.2333,26.1584,8.6087,74.1089,4,-10.259,19.5452,-35.321,18.7866,54.1077,22.074,487.2634,4,32.2332,2.324,27.7405,35.755,8.0145,32.3168,1044.3772,0,13.1298,Left,1
2025-09-04 15:31,12.1665,0,12.1665,12.1665,0,12.1665,148.0238,0,-0.5404,0.5747,-1.4497,0.3608,1.8105,0.7889,0.6223,4,0.2523,0.4466,-0.4751,0.8325,1.3076,0.513,0.2631,4,89.0422,108.7441,-30.3955,269.5923,299.9878,140.5481,19753.7787,4,0.647,144.0417,-199.9512,216.7358,416.687,144.0432,20748.4362,4,2.3356,31.8756,-53.6499,77.9419,131.5918,31.961,1021.5059,10,0.2406,9.9974,-13.8702,15.1776,29.0479,10.0003,100.0068,4,-12.9558,23.3572,-45.2252,25.351,70.5762,26.7098,713.4121,3,33.5043,3.4453,27.713,39.6881,11.9751,33.6809,1134.4064,0,13.2245,Left,1
2025-09-04 15:31,12.1665,0,12.1665,12.1665,0,12.1665,148.0238,0,-0.5753,0.7138,-1.6099,0.3325,1.9424,0.9168,0.8405,5,0.2689,0.4116,-0.4102,0.7373,1.1475,0.4916,0.2417,4,83.37,115.4735,-31.0059,273.3765,304.3823,142.4243,20284.6813,4,12.3413,135.2969,-192.688,211.3037,403.9917,135.8586,18457.5486,4,5.127,34.1006,-43.457,75.5615,119.0186,34.4839,1189.136,6,0.731,10.6664,-17.2321,16.2158,33.4479,10.6914,114.307,4,-12.557,22.1488,-40.1056,23.9172,64.0228,25.4607,648.2457,4,30.8287,3.7071,22.7087,38.1445,15.4358,31.0508,964.1533,0,13.2875,Left,1
